"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
14379,"\347\214\250","\343\204\251\343\204\242\313\212","yuan","yuan","yuan","yuan",0,0
14380,"\346\210\217","\343\204\217\343\204\250","hu","hu","hu","hu",0,0
14381,"\346\210\217","\343\204\222\343\204\247\313\213","si","xi","shi","hsi",0,0
14382,"\350\250\224","\343\204\247\343\204\243\313\212","yin","yin","yin","yin",0,0
14383,"\346\270\220","\343\204\220\343\204\247\343\204\242","jian","jian","jian","chien",0,0
14384,"\346\270\220","\343\204\220\343\204\247\343\204\242\313\213","jian","jian","jian","chien",0,0
14385,"\351\276\210","\343\204\216\343\204\243\313\207","ken","ken","ken","ken",0,0
14386,"\351\276\210","\343\204\247\343\204\243\313\212","yin","yin","yin","yin",0,0
14387,"\350\237\251","\343\204\220\343\204\251\343\204\235\313\212","jyue","jue","jiue","chueh",0,0
14388,"\351\251\234","\343\204\247\343\204\235\313\213","ye","ye","ya","yeh",0,0
14389,"\347\236\256","\343\204\224\343\204\234\313\213","che","che","che","che",0,0
14390,"\350\215\232","\343\204\220\343\204\247\343\204\232\313\212","jia","jia","jia","chia",0,0
14391,"\345\223\243","\343\204\206\343\204\241\313\207","pou","pou","pou","pou",0,0
14392,"\345\201\271","\343\204\205\343\204\237\313\213","bei","bei","bei","pei",0,0
14393,"\351\260\214","\343\204\221\343\204\247\343\204\241","aiou","qiu","chiou","chiu",0,0
14394,"\345\274\241","\343\204\220\343\204\251\343\204\235\313\212","jyue","jue","jiue","chueh",0,0
14395,"\345\274\241","\343\204\223\343\204\244","jhang","zhang","jang","chang",0,0
14396,"\345\254\234","\343\204\222\343\204\247\343\204\243","sin","xin","shin","hsin",0,0
14397,"\347\203\251","\343\204\217\343\204\250\343\204\237\313\213","huei","hui","huei","hui",0,0
14398,"\350\272\260","\343\204\212\343\204\247\313\207","ti","ti","ti","ti",0,0
14399,"\345\216\200","\343\204\222\343\204\247","si","xi","shi","hsi",0,0
14400,"\351\240\276","\343\204\227","zih","zi","tz","tzu",0,0
14401,"\345\267\251","\343\204\215\343\204\250\343\204\245\313\207","gong","gong","gung","kung",0,0
14402,"\347\240\266","\343\204\206\343\204\233\313\213","po","po","po","po",0,0
14403,"\350\263\211","\343\204\222\343\204\251\313\213","syu","xu","shiu","hsu",0,0
14404,"\350\253\220","\343\204\221\343\204\247\343\204\242","cian","qian","chian","chien",0,0
14405,"\345\206\203","\343\204\207\343\204\240\313\213","mao","mao","mau","mao",0,0
14406,"\345\253\224","\343\204\206\343\204\247\343\204\243\313\212","pin","pin","pin","pin",0,0
14407,"\347\226\201","\343\204\214\343\204\247\343\204\241\313\212","liou","liu","liou","liu",0,0
14408,"\346\236\217","\343\204\213\343\204\242\313\212","nan","nan","nan","nan",0,0
14409,"\350\264\255","\343\204\215\343\204\241\313\213","gou","gou","gou","kou",0,0
14410,"\345\241\270","\343\204\221\343\204\247\343\204\241","aiou","qiu","chiou","chiu",0,0
14411,"\345\241\270","\343\204\241","ou","ou","ou","ou",0,0
14412,"\347\232\214","\343\204\207\343\204\233\313\213","mo","mo","mo","mo",0,0
14413,"\350\261\222","\343\204\223\313\213","jhih","zhi","jr","chih",0,0
14414,"\347\255\277","\343\204\222\343\204\247\343\204\240\313\207","siao","xiao","shiau","hsiao",0,0
14415,"\347\231\253","\343\204\211\343\204\247\343\204\242","dian","dian","dian","tien",0,0
14416,"\347\220\276","\343\204\220\343\204\247\343\204\235\313\213","jie","jie","jie","chieh",0,0
14417,"\345\202\212","\343\204\251\343\204\243\313\213","yun","yun","yun","yun",0,0
14418,"\346\274\264","\343\204\223\343\204\250\343\204\244\313\213","jhuang","zhuang","juang","chuang",0,0
14419,"\346\274\264","\343\204\224\343\204\250\343\204\245\313\212","chong","chong","chung","chung",0,0
14420,"\346\250\251","\343\204\221\343\204\251\343\204\242\313\212","cyuan","quan","chiuan","chuan",0,0
14421,"\351\222\205","\343\204\220\343\204\247\343\204\243","jin","jin","jin","chin",0,0
14422,"\350\201\204","\343\204\223\343\204\243\313\207","jhen","zhen","jen","chen",0,0
14423,"\345\244\204","\343\204\224\343\204\250\313\207","chu","chu","chu","chu",0,0
14424,"\345\244\204","\343\204\224\343\204\250\313\213","chu","chu","chu","chu",0,0
14425,"\346\261\244","\343\204\212\343\204\244","tang","tang","tang","tang",0,0
14426,"\346\261\244","\343\204\225\343\204\244","shang","shang","shang","shang",0,0
14427,"\351\263\250","\343\204\214\343\204\247\313\213","li","li","li","li",0,0
14428,"\346\207\233","\343\204\211\343\204\236","dai","dai","dai","tai",0,0
14429,"\347\273\231","\343\204\215\343\204\237\313\207","gei","gei","gei","kei",0,0
